Loja;Num.Cupom;SKU;Familia;Quantidade Comprada;Ativacao Necessaria;Data Cupom;Preco Venda Unidade;Preco Venda Promocao;Desconto Unitario;Desconto Total;Percentual Desconto;Custo Produto;Margem Produto;Margem Promocao
01;242037;629430;MILHO VERDE MINAS MAIS 170G SACHE ;5,0;3,0;2024-12-02;3,75;3,39;0,3599999999999999;1,8000000000000007;9,6;1,85925;50,42;45,15486725663717
01;242042;700580;REF FRISCO 18G;3,0;3,0;2024-12-02;1,25;1,09;0,15999999999999992;0,47999999999999954;12,8;-0,10412499999999991;108,33;109,552752293578
01;242109;624138;SAB PO BRILHANTE CAIXA 1.6KG LIMP ;3,0;2,0;2024-12-03;21,99;19,29;2,6999999999999993;8,100000000000001;12,28;9,440306999999999;57,07;51,06113530326595
01;242111;665360;PAPEL HIG ATUALLE 20M C12 MAX  ;3,0;2,0;2024-12-03;17,99;15,59;2,3999999999999986;7,200000000000003;13,34;3,2022199999999987;82,2;79,45978191148173
01;242135;403351;SALGADINHO GULAO 120G SABORES;3,0;2,0;2024-12-03;3,99;4,99;-1,0;-3,0;-25,06;3,1552919999999998;20,92;36,76769539078157
01;242167;156288;MIST BOLO ST AMALIA 400G;2,0;2,0;2024-12-03;4,69;4,29;0,40000000000000036;0,8000000000000007;8,53;1,9510400000000003;58,4;54,521212121212116
01;242198;689908;REF FRISCO 18G;3,0;3,0;2024-12-03;1,25;1,09;0,15999999999999992;0,47999999999999954;12,8;-0,10412499999999991;108,33;109,552752293578
01;242207;209229;FUBA ANCHIETA 1KG  ;10,0;3,0;2024-12-03;2,99;2,89;0,10000000000000009;1,0;3,34;2,474225;17,25;14,38667820069204
01;242254;11921;BISC AYMORE SALPET 200G  ;3,0;3,0;2024-12-04;4,99;4,39;0,6000000000000005;1,8000000000000025;12,02;1,6526880000000004;66,88;62,35334851936217
01;242254;22972;DETERG LIQ YPE 500ML;5,0;3,0;2024-12-04;2,99;2,69;0,30000000000000027;1,5000000000000018;10,03;1,323972;55,72;50,78171003717472
01;242254;181372;FEIJAO PRETO DUPRATO 1KG ;5,0;4,0;2024-12-04;9,99;9,19;0,8000000000000007;4,000000000000007;8,01;1,4985000000000002;85,0;83,69423286180631
01;242254;19484;TEMP SAZON 60G SABORES;2,0;2,0;2024-12-04;6,69;5,89;0,8000000000000007;1,6000000000000014;11,96;2,2746;66,0;61,38200339558574
01;242308;622219;AMACIANTE YPE 2L FRAGANCIAS;2,0;2,0;2024-12-05;10,39;9,09;1,3000000000000007;2,6000000000000014;12,51;4,546664;56,24;49,98169416941694
01;242355;83119;CR DENTAL SORRISO 180G DENTES BRC ;3,0;2,0;2024-12-05;8,49;7,49;1,0;3,0;11,78;2,448516;71,16;67,30953271028038
01;242355;22972;DETERG LIQ YPE 500ML;4,0;3,0;2024-12-05;2,99;2,69;0,30000000000000027;1,200000000000001;10,03;1,323972;55,72;50,78171003717472
01;242355;209229;FUBA ANCHIETA 1KG  ;3,0;3,0;2024-12-05;2,99;2,89;0,10000000000000009;0,3000000000000007;3,34;2,474225;17,25;14,38667820069204
01;242355;19484;TEMP SAZON 60G SABORES;4,0;2,0;2024-12-05;6,69;5,89;0,8000000000000007;3,200000000000003;11,96;2,2746;66,0;61,38200339558574
01;242404;156318;MIST BOLO ST AMALIA 400G;4,0;2,0;2024-12-05;4,69;4,29;0,40000000000000036;1,6000000000000014;8,53;1,9510400000000003;58,4;54,521212121212116
01;242432;241540;PERNIL DIANTEIRO KG;4,2;4,0;2024-12-05;15,99;14,79;1,200000000000001;5,039999999999999;7,5;13,092611999999999;18,12;11,47659229208925
01;242509;162692;SAB ALBANY SUAVE 85G;6,0;4,0;2024-12-05;2,09;1,89;0,19999999999999996;1,1999999999999993;9,57;0,6855199999999999;67,2;63,729100529100535
01;242527;209229;FUBA ANCHIETA 1KG  ;3,0;3,0;2024-12-05;2,99;2,89;0,10000000000000009;0,3000000000000007;3,34;2,474225;17,25;14,38667820069204
01;242527;486583;SAB ALBANY SUAVE 85G;4,0;4,0;2024-12-05;2,09;1,89;0,19999999999999996;0,7999999999999998;9,57;0,6855199999999999;67,2;63,729100529100535
01;242537;486569;SAB ALBANY SUAVE 85G;4,0;4,0;2024-12-05;2,09;1,89;0,19999999999999996;0,7999999999999998;9,57;0,6855199999999999;67,2;63,729100529100535
01;242581;486569;SAB ALBANY SUAVE 85G;8,0;4,0;2024-12-05;2,09;1,89;0,19999999999999996;1,5999999999999996;9,57;0,6855199999999999;67,2;63,729100529100535
01;242581;624138;SAB PO BRILHANTE CAIXA 1.6KG LIMP ;2,0;2,0;2024-12-05;21,99;19,29;2,6999999999999993;5,399999999999999;12,28;9,440306999999999;57,07;51,06113530326595
01;242581;19491;TEMP SAZON 60G SABORES;3,0;2,0;2024-12-05;6,69;5,89;0,8000000000000007;2,400000000000002;11,96;1,5714810000000001;76,51;73,31950764006791
01;242651;22996;DETERG LIQ YPE 500ML;4,0;3,0;2024-12-06;2,99;2,69;0,30000000000000027;1,200000000000001;10,03;1,323972;55,72;50,78171003717472
01;242666;22989;DETERG LIQ YPE 500ML;4,0;3,0;2024-12-06;2,99;2,69;0,30000000000000027;1,200000000000001;10,03;1,323972;55,72;50,78171003717472
