Loja;Num.Cupom;SKU;Familia;Quantidade Comprada;Ativacao Necessaria;Data Cupom;Preco Venda Unidade;Preco Venda Promocao;Desconto Unitario;Desconto Total;Percentual Desconto;Custo Produto;Margem Produto;Margem Promocao
01;166471;641784;REF MID 20G SABORES;3,0;3,0;2024-07-01;1,25;1,16;0,09000000000000008;0,27000000000000046;7,2;0,3886250000000001;68,91;66,49784482758619
01;166471;19460;SAL GLOBO 1KG;2,0;2,0;2024-07-01;2,09;1,78;0,30999999999999983;0,6199999999999997;14,83;0,8201159999999998;60,76;53,92606741573035
01;166566;523158;REF TORNADO 15G;4,0;4,0;2024-07-01;1,09;0,89;0,20000000000000007;0,8000000000000003;18,35;0,31054099999999996;71,51;65,10775280898878
01;166609;242400;ASA FRANGO RESFRIADA KG  ;3,09;3,0;2024-07-01;19,99;15,58;4,409999999999998;13,6269;22,06;6,652671999999999;66,72;57,29992297817715
01;166633;391818;BOMBOM ARCOR 15G;4,0;4,0;2024-07-01;1,15;0,92;0,22999999999999987;0,9199999999999995;20,0;0,028865000000000012;97,49;96,8625
01;166638;391818;BOMBOM ARCOR 15G;4,0;4,0;2024-07-01;1,15;0,92;0,22999999999999987;0,9199999999999995;20,0;0,028865000000000012;97,49;96,8625
01;166691;19460;SAL GLOBO 1KG;2,0;2,0;2024-07-01;2,09;1,78;0,30999999999999983;0,6199999999999997;14,83;0,8201159999999998;60,76;53,92606741573035
01;166722;19460;SAL GLOBO 1KG;2,0;2,0;2024-07-01;2,09;1,78;0,30999999999999983;0,6199999999999997;14,83;0,8201159999999998;60,76;53,92606741573035
01;166787;520263;CALDO SAZON 32G SABORES;2,0;2,0;2024-07-06;2,99;2,63;0,3600000000000003;0,7200000000000006;12,04;1,013311;66,11;61,47106463878327
01;166822;638913;REF MID 20G SABORES;4,0;3,0;2024-07-08;1,25;1,16;0,09000000000000008;0,3600000000000003;7,2;0,8423749999999999;32,61;27,381465517241388
01;166847;169851;CAFE TRES CORACOES 500G FORT;2,0;2,0;2024-07-10;23,99;18,09;5,899999999999999;11,799999999999997;24,59;25,321445;-5,55;-39,974820342730794
01;166847;19460;SAL GLOBO 1KG;2,0;2,0;2024-07-10;2,09;1,78;0,30999999999999983;0,6199999999999997;14,83;0,8201159999999998;60,76;53,92606741573035
01;166852;391818;BOMBOM ARCOR 15G;4,0;4,0;2024-07-10;1,15;0,92;0,22999999999999987;0,9199999999999995;20,0;0,028865000000000012;97,49;96,8625
01;166866;493468;PAO RECHEADO UN ;4,0;4,0;2024-07-10;2,3;1,92;0,3799999999999999;1,5199999999999996;16,52;-0,5754599999999999;125,02;129,97187499999998
01;166886;520072;CAFE LEGENDARIO 500G;2,0;2,0;2024-07-11;11,79;10,66;1,129999999999999;2,259999999999998;9,58;9,67959;17,9;9,197091932457795
01;166907;516341;PASTEL DE GUARANA UN  ;4,0;4,0;2024-07-11;5,0;3,1;1,9;7,6;38,0;-13,843499999999999;376,87;546,5645161290323
01;166910;8006;PAO DOCE COM CREME UN ;3,0;3,0;2024-07-11;1,9;1,57;0,32999999999999985;0,9899999999999993;17,37;-1,0429099999999998;154,89;166,42738853503184
01;166936;473903;BISC JUVIS WAFER 100G;4,0;3,0;2024-07-12;2,15;1,91;0,24;0,96;11,16;0,8331249999999999;61,25;56,38089005235602
01;166947;2813;PAO BORBOLETA UN;6,0;4,0;2024-07-12;1,0;0,79;0,20999999999999996;1,2599999999999998;21,0;-1,6061999999999999;260,62;303,3164556962025
01;166948;19460;SAL GLOBO 1KG;2,0;2,0;2024-07-12;2,09;1,78;0,30999999999999983;0,6199999999999997;14,83;0,8201159999999998;60,76;53,92606741573035
01;166949;256773;MAIONESE D CASA 200G SABORES;2,0;2,0;2024-07-12;7,65;6,81;0,8400000000000007;1,6800000000000015;10,98;3,209175;58,05;52,875550660792946
01;166956;602907;ABS SYM C A SUAVE ROXO 8UN  ;2,0;2,0;2024-07-12;4,09;3,55;0,54;1,08;13,2;1,6965319999999997;58,52;52,2103661971831
01;166966;493468;PAO RECHEADO UN ;4,0;4,0;2024-07-12;2,3;1,92;0,3799999999999999;1,5199999999999996;16,52;-0,5754599999999999;125,02;129,97187499999998
01;166972;13192;COCO RALADO MENINA 50G;6,0;3,0;2024-07-12;2,29;1,97;0,32000000000000006;1,92;13,97;0,8017290000000001;64,99;59,3030964467005
01;166978;256773;MAIONESE D CASA 200G SABORES;2,0;2,0;2024-07-12;7,65;6,81;0,8400000000000007;1,6800000000000015;10,98;3,209175;58,05;52,875550660792946
01;166978;93330;PIZZA PIF PAF 460G;2,0;2,0;2024-07-12;17,99;14,38;3,6099999999999977;7,219999999999995;20,07;9,335011;48,11;35,083372739916555
01;167039;665360;PAPEL HIG ATUALLE 20M C12 MAX  ;2,0;2,0;2024-07-12;15,79;14,03;1,7599999999999998;3,5199999999999996;11,15;6,330211;59,91;54,88089094796863
01;167043;515269;LUA DE MEL BAUNILHA UN;3,0;3,0;2024-07-12;2,6;2,09;0,5100000000000002;1,5300000000000011;19,62;-1,8064799999999996;169,48;186,43444976076552
01;167197;516341;PASTEL DE GUARANA UN  ;4,0;4,0;2024-07-16;5,0;3,1;1,9;7,6;38,0;-13,843499999999999;376,87;546,5645161290323
01;167220;219372;DONUTS UN ;6,0;3,0;2024-07-16;2,8;2,12;0,6799999999999997;4,0799999999999965;24,29;-9,04596;423,07;526,6962264150942
