Loja;Num.Cupom;SKU;Familia;Quantidade Comprada;Ativacao Necessaria;Data Cupom;Preco Venda Unidade;Preco Venda Promocao;Desconto Unitario;Desconto Total;Percentual Desconto;Custo Produto;Margem Produto;Margem Promocao
01;229112;685856;MANTEIGA D NATA 500G  ;5,0;2,0;2024-09-03;22,19;20,19;2,0;10,0;9,01;11,796204;46,84;41,57402674591382
01;229114;448987;BATATA PALHA MAXBATATA 300G ;2,0;2,0;2024-09-03;11,99;10,09;1,9000000000000004;3,8000000000000007;15,85;5,897881;50,81;41,54726461843409
01;229120;616409;GRANOLA BRASINGRAOS 500G SABORES;2,0;2,0;2024-09-03;21,29;18,59;2,6999999999999993;5,399999999999999;12,68;6,120874999999999;71,25;67,07436793975256
01;229120;67454;IOG NESTLE NATURAL;8,0;4,0;2024-09-03;4,29;3,59;0,7000000000000002;5,600000000000001;16,32;2,486055;42,05;30,750557103064068
01;229120;685856;MANTEIGA D NATA 500G  ;2,0;2,0;2024-09-03;22,19;20,19;2,0;4,0;9,01;11,796204;46,84;41,57402674591382
01;229120;15561;MARGARINA QUALY 500G C SAL  ;2,0;2,0;2024-09-03;8,49;7,29;1,2000000000000002;2,4000000000000004;14,13;5,065983;40,33;30,50777777777778
01;229122;641791;REF MID 20G SABORES;3,0;3,0;2024-09-03;1,19;1,09;0,09999999999999987;0,2999999999999994;8,4;0,466361;60,81;57,2145871559633
01;229136;241540;PERNIL DIANTEIRO KG;7,39;2,0;2024-09-03;11,99;10,09;1,9000000000000004;14,040999999999997;15,85;13,359258;-11,42;-32,40097125867196
01;229193;241878;COSTELA SUINA KG;2,26;2,0;2024-09-03;16,99;15,69;1,299999999999999;2,9379999999999953;7,65;15,345367999999999;9,68;2,196507329509246
01;229254;448987;BATATA PALHA MAXBATATA 300G ;3,0;2,0;2024-09-03;11,99;10,09;1,9000000000000004;5,699999999999999;15,85;5,897881;50,81;41,54726461843409
01;229260;241878;COSTELA SUINA KG;5,87;2,0;2024-09-03;16,99;15,69;1,299999999999999;7,630999999999986;7,65;15,345367999999999;9,68;2,196507329509246
01;229294;22965;DETERG LIQ YPE 500ML;3,0;3,0;2024-09-04;2,69;2,49;0,19999999999999973;0,5999999999999996;7,43;1,5717670000000001;41,57;36,87682730923695
01;229318;241540;PERNIL DIANTEIRO KG;8,38;2,0;2024-09-04;11,99;10,09;1,9000000000000004;15,921999999999997;15,85;13,359258;-11,42;-32,40097125867196
01;229357;626743;MILHO VERDE MINAS MAIS 170G LATA  ;3,0;3,0;2024-09-04;3,89;3,29;0,6000000000000001;1,799999999999999;15,42;1,0549680000000001;72,88;67,93410334346504
01;229407;638630;REF MID 20G SABORES;15,0;3,0;2024-09-04;1,19;1,09;0,09999999999999987;1,4999999999999964;8,4;0,877744;26,24;19,473027522935787
01;229416;520522;SABAO BARRA YPE 900G;2,0;2,0;2024-09-04;14,99;12,59;2,4000000000000004;4,800000000000001;16,01;1,8587600000000017;87,6;85,23621922160444
